Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2019_q1,,Foot - Bunionectomy,,Zone 4,QE2,2019,1,110,234,189,386
2019_q4,,Bowel Resection - Open,,Zone 1,South Shore Regional,2019,4,13,213,22,55
3month_rolling,,Prostate Cancer Surgery,,Total,Provincial,2019,4,14,43,52,98
2018_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Marthas Regional,2018,2,,,83,307
12month_rolling,,Osteotomy,,Total,Provincial,2019,4,166,285,176,357
2018_q4,,Cornea and External Disease,,Zone 4,QE2,2018,4,49,320,56,562
2019_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2019,3,35,61,43,91
2018_q3,,Foot - Bunionectomy,,Zone 4,QE2,2018,3,103,209,179,238
2019_q4,,Bowel Resection,,Zone 1,Valley Regional,2019,4,20,50,34,56
2018_q3,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2018,3,87,252,34,50
12month_rolling,,Hernia Repair - Laparoscopic Umbilical,,Zone 4,Dartmouth General,2019,4,63,411,135,179
12month_rolling,Neurosurgery,All,"Weeks, Adrienne",,,,,33,209,33,202
2019_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2019,4,,,101,141
12month_rolling,Urology,Cystoscopy,"Butler, Trevor",,,,,59,65,44,158
2019_q4,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2019,4,52,170,61,391
2019_q3,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2019,3,12,20,78,127
2017_q4,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2017,4,18,29,117,187
12month_rolling,Urology,Kidney Stone Surgery,"McCarthy, John Paul",,,,,,,50,197
2018_q1,,Female Incontinence Surgery,,Zone 4,QE2,2018,1,,,113,202
2018_q1,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2018,1,40,70,96,131
2019_q2,,Hysteroscopy,,Zone 1,South Shore Regional,2019,2,16,55,31,53
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Saciragic, Lana",,,,,21,31,46,119
12month_rolling,Plastic Surgery,Oculo Plastic Surgery,"Dickson, Lisa Marie",,,,,147,240,109,131
3month_rolling,,Bowel Resection,,Zone 1,Yarmouth Regional,2019,4,,,10,13
2017_q4,,Ear Tubes  (Pediatric),,Zone 1,Yarmouth Regional,2017,4,,,64,162
2019_q3,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,3,199,213,145,182
12month_rolling,Otolaryngology (ENT),Salivary Gland Surgery,"Corsten, Martin",,,,,13,106,59,79
3month_rolling,Ophthalmology,,,,,2019,4,,,86,282
2019_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2019,4,93,239,42,176
2019_q3,,Tear Duct Surgery,,Total,Provincial,2019,3,97,433,,
2019_q1,,Cardiovascular Surgery,,Zone 4,QE2,2019,1,,,23,91
2019_q2,,Breast Cancer Surgery,,Zone 1,Valley Regional,2019,2,15,43,30,55
12month_rolling,Urology,Female Incontinence Surgery,"Massaro, Peter",,,,,39,49,128,325
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2019,4,49,211,56,272
12month_rolling,,Prostate Surgery,,Zone 4,QE2,2019,4,30,93,51,154
12month_rolling,General Surgery,Nissen Fundoplication - Laparoscopic,"Ellsmere, James C",,,,,164,546,26,33
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Wasilewski, Leszek J",,,,,155,413,56,223
2017_q4,,Knee Replacement,,Zone 4,Dartmouth General,2017,4,396,474,243,530
2019_q2,,Sinus Surgery,,Total,Provincial,2019,2,51,165,76,434
2018_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2018,3,67,69,33,54
3month_rolling,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2019,4,178,237,214,330
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Hyun, Eric",,,,,10,26,30,36
2018_q1,,Aneurysm Repair,,Zone 4,QE2,2018,1,11,49,42,97
2019_q1,,Back Surgery  (Pediatric),,IWK,IWK,2019,1,,,220,356
2018_q2,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2018,2,60,198,61,433
2018_q1,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2018,1,18,32,61,134
2018_q4,,Sinus Surgery,,Total,Provincial,2018,4,48,144,69,266
2019_q2,,Shoulder Arthroscopy,,Zone 2,Aberdeen Hospital,2019,2,66,264,140,266
2018_q3,,Aneurysm Repair,,Zone 4,QE2,2018,3,29,190,34,124
2019_q3,,Orthopaedic Trauma,,Total,Provincial,2019,3,38,148,8,174
2019_q4,,Septoplasty,,Zone 4,QE2,2019,4,151,279,,
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Corsten, P Gerard",,,,,59,197,56,138
2019_q1,,Lung Cancer Surgery,,Zone 4,QE2,2019,1,27,52,31,59
2019_q1,,Orthopaedic Trauma,,Zone 4,QE2,2019,1,,,55,294
2018_q2,,Hernia Repair - Incisional,,Total,Provincial,2018,2,78,215,85,258
2019_q3,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2019,3,31,81,58,147
2019_q1,,Cystoscopy,,Zone 3,Inverness Consolidated Memorial,2019,1,35,119,8,35
12month_rolling,,Bladder Surgery,,Zone 4,QE2,2019,4,14,45,35,68
2018_q3,,Lung Cancer Surgery,,Zone 4,QE2,2018,3,29,49,37,81
2017_q4,,Knee Scope,,Zone 1,South Shore Regional,2017,4,30,229,83,248
2019_q1,,Hip Replacement,,Zone 4,QE2,2019,1,57,201,179,451
2018_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,St. Marthas Regional,2018,3,,,118,131
3month_rolling,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2019,4,25,214,27,63
2018_q3,,Hemorrhoidectomy,,Total,Provincial,2018,3,145,471,85,312
2019_q3,,Hip Replacement,,Zone 4,QE2,2019,3,55,126,161,398
2018_q1,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2018,1,,,7,20
3month_rolling,Plastic Surgery,,,,,2019,4,,,25,171
2019_q1,,Male Circumcision  (Adult),,Zone 3,Cape Breton Regional,2019,1,,,34,65
12month_rolling,Urology,Cystoscopy,"Bell, David G",,,,,30,92,34,83
12month_rolling,Dental,All,"Briand, Beth",,,,,34,112,32,57
2018_q2,,Strabismus Surgery  (Adult),,Zone 4,QE2,2018,2,212,762,293,451
2018_q3,,Knee Scope,,Zone 4,Dartmouth General,2018,3,110,285,105,221
2017_q4,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2017,4,68,137,127,221
12month_rolling,Orthopaedic,Knee Replacement,"Reardon, Gerald P",,,,,71,161,260,549
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Pugh, Cheryl",,,,,60,435,29,33
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Rudd, Michael W",,,,,147,198,218,288
2017_q4,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2017,4,49,250,113,380
12month_rolling,Dental,Dental Extractions and Restorations  (Adult),"Doyle, Tracy",,,,,,,299,492
12month_rolling,,Thoroscopy / Pleuroscopy,,Zone 4,QE2,2019,4,20,40,25,64
2017_q4,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2017,4,29,91,29,291
2019_q1,,Internal Defib Insertion / Loop Recorder,,Zone 4,QE2,2019,1,,,46,78
2018_q4,,Vitreoretinal Diseases,,Total,Provincial,2018,4,32,113,42,194
12month_rolling,,Tendon / Ligament Repair,,Zone 4,Dartmouth General,2019,4,135,275,27,103
3month_rolling,,Back Surgery  (Pediatric),,IWK,IWK,2019,4,,,236,447
2019_q1,,Breast Cancer Surgery,,Zone 1,South Shore Regional,2019,1,14,69,22,37
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Pediatric),"Scott, John",,,,,91,203,211,303
2019_q4,,Colorectal Cancer Surgery,,Zone 4,QE2,2019,4,19,69,27,61
2019_q2,,Colorectal Cancer Surgery,,Total,Provincial,2019,2,17,62,22,51
2019_q3,,Knee Scope with ACL Repair,,Zone 4,QE2,2019,3,24,84,94,466
2019_q3,,Prostate Surgery,,Zone 3,Northside General,2019,3,,,34,62
12month_rolling,Dental,Dental Extractions and Restorations  (Pediatric),"O'Joleck, Michael",,,,,55,172,125,214
2018_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2018,3,37,157,70,102
2018_q4,,Carpal Tunnel Surgery,,Zone 1,Valley Regional,2018,4,141,548,257,742
2019_q2,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2019,2,734,"3,241",29,55
12month_rolling,,Male Incontinence Surgery,,Total,Provincial,2019,4,55,82,172,524
2018_q1,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2018,1,,,29,111
2019_q2,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2019,2,57,92,74,128
2018_q2,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2018,2,57,142,18,55
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Enright, Jonathan Boyde",,,,,18,27,29,52
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"El-Tahan, Tahmir H.",,,,,61,312,108,266
2019_q1,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2019,1,50,173,60,79
2019_q3,,Kidney Removal,,Total,Provincial,2019,3,20,44,50,89
12month_rolling,Thoracic Surgery,Esophagectomy / Esophageal Surgery,"Mujoomdar, Aneil Arvind",,,,,25,33,28,41
2018_q3,,Pelvic Floor Repair,,Zone 1,Valley Regional,2018,3,,,184,318
12month_rolling,Obstetrics/Gynaecology,All,"Parish, Barbara M",,,,,82,198,37,77
2017_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2017,4,16,67,29,72
2019_q4,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2019,4,105,223,148,237
12month_rolling,,Cystoscopy,,Total,Provincial,2019,4,26,126,33,130
2017_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Aberdeen Hospital,2017,4,,,77,140
2019_q4,,Craniotomy or Craniectomy,,Total,Provincial,2019,4,,,38,199
3month_rolling,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2019,4,41,153,106,226
2018_q1,,Prostate Surgery,,Zone 3,Northside General,2018,1,,,22,43
2019_q1,,Brain Surgery  (Adult),,Total,Provincial,2019,1,30,342,36,197
2019_q3,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2019,3,56,123,67,152
2019_q2,,Hip Replacement,,Zone 2,Aberdeen Hospital,2019,2,95,324,70,330
2019_q3,,Cataract Surgery,,Zone 1,Soldiers Memorial,2019,3,113,161,197,302
12month_rolling,,Hysteroscopy,,Zone 1,Yarmouth Regional,2019,4,29,73,35,85
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Adult),"Bourget, Louis",,,,,28,87,21,114
2019_q4,,Gallbladder Surgery,,Zone 4,QE2,2019,4,63,189,47,183
12month_rolling,Thoracic Surgery,Lung Surgery,"Plourde, Madelaine M",,,,,38,67,56,100
2019_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2019,4,,,139,287
2019_q2,,Back Surgery  (Pediatric),,Total,Provincial,2019,2,,,348,579
2018_q2,,Bowel Resection - Open,,Zone 1,South Shore Regional,2018,2,20,116,22,57
2019_q4,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 3,Cape Breton Regional,2019,4,,,41,88
2019_q4,,Strabismus Surgery  (Pediatric),,IWK,IWK,2019,4,101,176,166,202
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Corsten, Martin",,,,,12,34,39,59
2018_q2,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2018,2,,,,
2017_q4,,Maxillofacial Deformity Surgery,,Total,Provincial,2017,4,112,194,124,422
2018_q3,,AV Fistula Creation/Closure,,Zone 3,Northside General,2018,3,,,17,46
2018_q1,,Ankle - Arthrodesis,,Total,Provincial,2018,1,,,131,345
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Brady, James",,,,,148,206,288,563
2019_q1,,Spinal Cord Stimulation Surgery,,Total,Provincial,2019,1,,,48,84
2019_q4,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 4,QE2,2019,4,,,17,97
2019_q4,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2019,4,53,210,70,197
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Eadie, Brennan",,,,,20,94,22,49
2018_q1,,Cataract Surgery,,Zone 1,Soldiers Memorial,2018,1,96,126,157,274
12month_rolling,,Gastric Surgery,,Total,Provincial,2019,4,25,65,38,120
2018_q2,,Knee Scope,,Zone 3,New Waterford,2018,2,76,120,67,99
3month_rolling,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2019,4,50,138,34,83
2017_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Total,Provincial,2017,4,85,200,126,197
3month_rolling,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2019,4,78,105,82,191
12month_rolling,,Pilonidal Cyst Surgery,,Zone 1,Yarmouth Regional,2019,4,37,246,44,140
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Nicolela, Marcelo",,,,,17,84,32,79
2018_q4,,Knee Scope with ACL Repair,,Zone 4,Hants Community Hospital,2018,4,18,97,30,189
2018_q2,,Strabismus Surgery  (Pediatric),,IWK,IWK,2018,2,120,231,83,252
3month_rolling,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2019,4,,,139,287
2017_q4,,Knee Scope,,Zone 3,New Waterford,2017,4,70,148,28,100
12month_rolling,,Meniscectomy,,Total,Provincial,2019,4,54,113,149,312
2018_q3,,Hysterectomy  (Cancer Not Suspected),,Total,Provincial,2018,3,53,205,80,183
12month_rolling,General Surgery,Splenic Surgery,"Klassen, Dennis R",,,,,22,37,26,29
2017_q4,,Laryngology and Vocal Cord Surgery,,Total,Provincial,2017,4,38,99,29,375
12month_rolling,Otolaryngology (ENT),All,"Dempsey, Ian M",,,,,197,369,100,212
2019_q1,,Prostatectomy,,Total,Provincial,2019,1,28,54,41,81
12month_rolling,General Surgery,Pilonidal Cyst Surgery,"Stewart, Riley",,,,,35,133,31,63
2018_q3,,Bowel Resection,,Zone 1,Valley Regional,2018,3,67,252,34,54
12month_rolling,Orthopaedic,All,"Sequeira, Stanislaus",,,,,104,482,209,608
2018_q3,,Prostatectomy,,Total,Provincial,2018,3,27,114,47,84
2019_q3,,Hemorrhoidectomy,,Total,Provincial,2019,3,106,319,125,592
12month_rolling,Urology,Cystoscopy,"Himmelman, Jeffrey George",,,,,20,183,37,162
12month_rolling,Ophthalmology,Cataract Surgery,"Gao, Jennifer",,,,,15,232,41,50
2018_q4,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2018,4,63,218,31,421
2019_q1,,Breast Cancer Surgery,,Zone 3,St. Marthas Regional,2019,1,3,8,19,46
3month_rolling,,Endometrial Ablation,,Total,Provincial,2019,4,49,173,59,212
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Pierce, Marianne",,,,,46,138,41,62
2019_q1,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,St. Marthas Regional,2019,1,,,45,155
2018_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2018,1,16,43,29,99
2019_q1,,Brain Surgery  (Pediatric),,IWK,IWK,2019,1,,,10,56
12month_rolling,Urology,Kidney / Upper Urinary Tract,"Duplisea, Jonathan",,,,,26,72,18,22
2019_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2019,4,68,147,101,245
3month_rolling,,Back Surgery  (Adult),,Zone 4,QE2,2019,4,72,456,60,194
12month_rolling,Orthopaedic,Knee Scope,"Reardon, Gerald P",,,,,44,84,142,213
2018_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Marthas Regional,2018,4,47,94,137,167
12month_rolling,,Hysteroscopy,,Zone 3,Northside General,2019,4,28,100,24,107
3month_rolling,,Hernia Repair - Incisional,,Zone 3,Cape Breton Regional,2019,4,,,115,301
12month_rolling,Obstetrics/Gynaecology,All,"Okuboyejo, Fazil",,,,,47,124,54,82
12month_rolling,,Foot - Arthrodesis,,Zone 2,Aberdeen Hospital,2019,4,,,312,687
2019_q1,,Cardiovascular Surgery,,Total,Provincial,2019,1,,,23,91
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Murphy, Christopher",,,,,39,86,127,181
2018_q1,,Bladder Cancer Surgery,,Zone 4,QE2,2018,1,17,41,29,97
2019_q4,,Female Incontinence Surgery,,Total,Provincial,2019,4,95,270,117,223
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"Romao, Rodrigo Luiz",,,,,,,31,70
12month_rolling,,Gastric Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2019,4,,,325,401
2018_q3,,Angioplasty,,Total,Provincial,2018,3,,,30,204
2019_q1,,Gastrointestinal Tract Surgery,,Total,Provincial,2019,1,27,133,34,176
12month_rolling,General Surgery,Kidney / Upper Urinary Tract,"Romao, Rodrigo Luiz",,,,,52,63,258,312
2017_q4,,Bone / Cartilage Graft,,Total,Provincial,2017,4,31,67,86,202
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2019,4,147,258,94,224
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Klassen, Dennis R",,,,,208,298,143,531
3month_rolling,,Septoplasty,,Zone 1,South Shore Regional,2019,4,,,18,104
2018_q2,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2018,2,12,20,21,45
2018_q4,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2018,4,68,286,78,118
12month_rolling,,Pilonidal Cyst Surgery,,Zone 3,Northside General,2019,4,65,177,86,162
12month_rolling,Vascular Surgery,Temporal Artery Biopsy,"Davidson, Dion",,,,,5,9,16,26
12month_rolling,General Surgery,All,"Watson-Jessome, Jane",,,,,73,175,54,119
2019_q2,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2019,2,18,28,30,52
12month_rolling,Ophthalmology,All,"Dahrab, Mishari M",,,,,232,560,81,200
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Klassen, Dennis R",,,,,45,62,27,89
2019_q2,,Bowel Resection - Open,,Zone 2,Colchester East Hants Health Centre,2019,2,35,57,36,66
2019_q4,,Dental Extractions and Restorations  (Adult),,Zone 1,South Shore Regional,2019,4,50,183,45,118
2019_q2,,Ankle - Arthrodesis,,Zone 4,QE2,2019,2,,,229,513
2018_q3,,Tear Duct Surgery,,Total,Provincial,2018,3,153,511,,
2019_q4,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2019,4,,,641,769
2019_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2019,4,56,189,16,160
2017_q4,,Colorectal Cancer Surgery,,Zone 1,South Shore Regional,2017,4,12,38,16,20
2018_q2,,Carpal Tunnel Surgery,,Zone 4,Dartmouth General,2018,2,93,187,62,148
2019_q3,,Melanoma Excision,,Total,Provincial,2019,3,8,57,22,41
2018_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,QE2,2018,1,173,199,82,269
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Jorgensen, Sally",,,,,161,187,44,68
2019_q1,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2019,1,34,74,65,113
2019_q4,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2019,4,134,211,188,478
2018_q1,,Back Surgery  (Pediatric),,IWK,IWK,2018,1,,,124,274
2019_q1,,Hernia Repair - Incisional,,Total,Provincial,2019,1,72,297,60,266
2018_q4,,Ankle - Arthrodesis,,Zone 4,QE2,2018,4,,,447,554
3month_rolling,,Brain Surgery  (Pediatric),,IWK,IWK,2019,4,,,32,99
2018_q3,,Cystoscopy,,Zone 2,Colchester East Hants Health Centre,2018,3,30,106,62,142
12month_rolling,Orthopaedic,All,"Wong, Ivan",,,,,109,600,151,786
2018_q3,,Orthopaedic Trauma,,Total,Provincial,2018,3,33,146,6,167
2018_q2,,Cataract Surgery,,Zone 2,Cumberland Regional,2018,2,16,53,41,125
2018_q2,,Gallbladder Surgery,,Zone 1,South Shore Regional,2018,2,12,27,22,36
12month_rolling,,Hysteroscopy,,Zone 1,South Shore Regional,2019,4,20,95,33,71
2019_q2,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2019,2,98,621,63,137
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Incisional,"Kelly, Ryan Patrick",,,,,123,286,178,220
2017_q4,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2017,4,98,"1,829",29,41
2019_q1,,Tear Duct Surgery,,Zone 4,QE2,2019,1,62,312,,
12month_rolling,Neurosurgery,Back Surgery  (Adult),"Pickett, Gwynedd",,,,,153,"1,243",188,199
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Kenyon, Chris",,,,,22,83,29,55
12month_rolling,General Surgery,Hernia Repair  (Adult),"McGibney, Kieron",,,,,21,71,71,183
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Klassen, Dennis R",,,,,37,58,32,131
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Wasserman, Lukas",,,,,28,100,28,48
12month_rolling,Urology,Prostatectomy,"Rendon, Ricardo",,,,,19,35,64,127
2019_q1,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2019,1,14,91,79,165
12month_rolling,Orthopaedic,Hip Arthroscopy,"Logan, Karl John",,,,,47,80,220,239
2019_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Valley Regional,2019,2,57,395,61,214
2019_q2,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,2,189,221,139,208
2018_q4,,Bowel Resection - Open,,Zone 1,Valley Regional,2018,4,,,43,105
2017_q4,,Bowel Resection - Open,,Zone 4,Dartmouth General,2017,4,22,134,33,92
2019_q3,,Colorectal Cancer Surgery,,Zone 4,QE2,2019,3,15,28,33,61
2019_q1,,Hysteroscopy,,IWK,IWK,2019,1,58,168,45,75
2019_q2,,Knee Scope with ACL Repair,,Zone 4,QE2,2019,2,28,88,187,523
2018_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,New Waterford,2018,3,,,64,159
2019_q1,,Lung Surgery,,Total,Provincial,2019,1,27,52,31,62
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Kelly, Ryan Patrick",,,,,192,472,84,103
2018_q2,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2018,2,,,28,100
2018_q4,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2018,4,,,128,384
12month_rolling,Urology,Bladder Cancer Surgery,"Puthenparumpil, Jacob",,,,,10,30,46,73
12month_rolling,Urology,Kidney / Upper Urinary Tract,"MacLellan, Dawn",,,,,98,144,145,204
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Taylor, S. Mark",,,,,18,56,58,102
2018_q3,,Hysterectomy  (Cancer Suspected or Proven),,Zone 4,QE2,2018,3,19,29,51,72
2018_q2,,Endarterectomy,,Total,Provincial,2018,2,20,96,28,178
12month_rolling,General Surgery,Bowel Resection,"Stoddart, Todd",,,,,14,58,26,38
2018_q2,,Cardiovascular Surgery,,Zone 4,QE2,2018,2,,,5,35
2018_q2,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2018,2,62,174,57,190
12month_rolling,Orthopaedic,Back Surgery  (Adult),"Glennie, Raymond Andrew",,,,,72,171,114,199
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Curry, Philip L",,,,,134,351,55,125
2017_q4,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2017,4,79,180,,
2019_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Northside General,2019,4,11,37,,
2017_q4,,Endarterectomy,,Total,Provincial,2017,4,32,91,65,249
2018_q4,,Functional Endoscopic Sinus Surgery (FESS),,Zone 1,Valley Regional,2018,4,,,87,138
12month_rolling,General Surgery,All,"Davies, Dafydd Alexander",,,,,28,57,65,161
2019_q2,,Orthopaedic Trauma,,Zone 4,QE2,2019,2,,,48,441
2019_q3,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2019,3,,,21,37
2017_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,Valley Regional,2017,4,,,132,186
2019_q2,,Pelvic Floor Repair,,Zone 1,Valley Regional,2019,2,,,279,341
12month_rolling,Orthopaedic,Hip Replacement,"O'Neill, Michelle E",,,,,68,120,72,160
3month_rolling,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2019,4,14,34,21,34
